id,loan_paid_back
593994,1.0
593995,1.0
593996,0.45
593997,1.0
593998,0.91
593999,1.0
594000,1.0
594001,0.8
594002,0.91
594003,0.47
594004,0.66
594005,1.0
594006,0.74
594007,0.51
594008,1.0
594009,0.74
594010,1.0
594011,1.0
594012,1.0
594013,1.0
594014,0.76
594015,1.0
594016,0.9
594017,0.79
594018,1.0
594019,0.4
594020,0.83
594021,0.79
594022,0.91
594023,0.22
594024,0.91
594025,0.88
594026,0.82
594027,0.91
594028,0.79
594029,0.66
594030,1.0
594031,0.9
594032,1.0
594033,0.91
594034,0.81
594035,0.62
594036,1.0
594037,0.64
594038,1.0
594039,0.72
594040,1.0
594041,1.0
594042,0.73
594043,0.66
594044,0.91
594045,0.91
594046,1.0
594047,1.0
594048,0.92
594049,1.0
594050,1.0
594051,0.92
594052,0.72
594053,1.0
594054,0.76
594055,0.64
594056,0.86
594057,1.0
594058,0.9
594059,0.89
594060,0.79
594061,0.43
594062,0.72
594063,0.81
594064,0.89
594065,0.77
594066,1.0
594067,0.24
594068,0.71
594069,1.0
594070,0.81
594071,0.78
594072,1.0
594073,0.91
594074,0.71
594075,1.0
594076,0.74
594077,1.0
594078,0.0
594079,1.0
594080,0.61
594081,0.09
594082,1.0
594083,1.0
594084,0.54
594085,0.81
594086,0.52
594087,1.0
594088,0.28
594089,1.0
594090,1.0
594091,0.7
594092,0.54
594093,1.0
594094,0.7
594095,1.0
594096,0.38
594097,1.0
594098,0.81
594099,0.85
594100,1.0
594101,0.69
594102,0.78
594103,1.0
594104,0.89
594105,0.49
594106,1.0
594107,0.36
594108,0.92
594109,1.0
594110,1.0
594111,0.39
594112,0.79
594113,1.0
594114,0.91
594115,0.68
594116,0.92
594117,0.21
594118,0.34
594119,1.0
594120,0.83
594121,0.19
594122,1.0
594123,1.0
594124,0.91
594125,0.85
594126,0.17
594127,0.57
594128,0.31
594129,1.0
594130,1.0
594131,0.62
594132,1.0
594133,0.9
594134,1.0
594135,0.5
594136,1.0
594137,1.0
594138,0.18
594139,0.49
594140,1.0
594141,1.0
594142,1.0
594143,0.86
594144,0.9
594145,1.0
594146,0.58
594147,0.67
594148,0.52
594149,0.81
594150,1.0
594151,0.88
594152,1.0
594153,1.0
594154,1.0
594155,0.72
594156,0.91
594157,0.38
594158,0.72
594159,0.91
594160,1.0
594161,1.0
594162,1.0
594163,1.0
594164,0.65
594165,0.26
594166,1.0
594167,1.0
594168,0.38
594169,1.0
594170,1.0
594171,1.0
594172,0.1
594173,0.47
594174,0.89
594175,0.38
594176,0.89
594177,0.82
594178,0.61
594179,0.82
594180,0.38
594181,0.91
594182,0.91
594183,0.42
594184,0.89
594185,0.82
594186,0.89
594187,0.1
594188,0.92
594189,0.6
594190,0.68
594191,1.0
594192,0.92
594193,0.81
594194,0.8
594195,1.0
594196,1.0
594197,0.65
594198,0.6
594199,1.0
594200,0.76
594201,0.82
594202,0.38
594203,1.0
594204,0.91
594205,0.91
594206,0.72
594207,0.73
594208,0.27
594209,0.82
594210,1.0
594211,0.91
594212,1.0
594213,0.58
594214,1.0
594215,0.89
594216,1.0
594217,1.0
594218,0.81
594219,1.0
594220,1.0
594221,1.0
594222,0.76
594223,0.52
594224,1.0
594225,0.87
594226,1.0
594227,0.84
594228,1.0
594229,1.0
594230,1.0
594231,0.92
594232,1.0
594233,1.0
594234,0.59
594235,0.15
594236,0.79
594237,0.9
594238,1.0
594239,1.0
594240,1.0
594241,0.52
594242,1.0
594243,0.79
594244,0.91
594245,0.27
594246,0.55
594247,0.89
594248,0.91
594249,1.0
594250,0.4
594251,0.91
594252,1.0
594253,0.43
594254,0.81
594255,0.82
594256,1.0
594257,1.0
594258,0.92
594259,0.89
594260,0.18
594261,0.72
594262,0.62
594263,0.9
594264,0.91
594265,1.0
594266,0.59
594267,1.0
594268,0.39
594269,0.88
594270,0.61
594271,0.6
594272,0.82
594273,0.61
594274,0.39
594275,0.9
594276,1.0
594277,0.91
594278,1.0
594279,0.91
594280,1.0
594281,0.62
594282,0.51
594283,0.81
594284,1.0
594285,1.0
594286,1.0
594287,0.82
594288,0.18
594289,1.0
594290,0.2
594291,0.6
594292,0.83
594293,0.09
594294,0.48
594295,0.46
594296,1.0
594297,1.0
594298,0.81
594299,0.49
594300,0.9
594301,1.0
594302,0.9
594303,0.79
594304,0.89
594305,1.0
594306,1.0
594307,1.0
594308,1.0
594309,1.0
594310,1.0
594311,1.0
594312,1.0
594313,1.0
594314,0.7
594315,1.0
594316,0.35
594317,1.0
594318,0.79
594319,0.91
594320,1.0
594321,0.82
594322,0.18
594323,0.91
594324,0.93
594325,1.0
594326,0.78
594327,1.0
594328,0.51
594329,1.0
594330,1.0
594331,1.0
594332,1.0
594333,1.0
594334,0.14
594335,0.87
594336,0.64
594337,0.59
594338,0.73
594339,1.0
594340,0.74
594341,0.55
594342,0.47
594343,0.92
594344,0.91
594345,0.91
594346,1.0
594347,0.93
594348,1.0
594349,1.0
594350,0.9
594351,0.91
594352,1.0
594353,0.5
594354,0.19
594355,1.0
594356,0.57
594357,0.42
594358,0.7
594359,0.91
594360,0.09
594361,0.82
594362,0.5
594363,0.91
594364,1.0
594365,0.49
594366,0.39
594367,1.0
594368,1.0
594369,0.91
594370,0.19
594371,1.0
594372,0.9
594373,0.89
594374,0.89
594375,0.2
594376,0.82
594377,1.0
594378,0.64
594379,0.71
594380,1.0
594381,0.9
594382,1.0
594383,0.54
594384,0.81
594385,1.0
594386,0.18
594387,0.88
594388,1.0
594389,1.0
594390,0.81
594391,0.83
594392,0.81
594393,0.29
594394,1.0
594395,0.11
594396,1.0
594397,0.87
594398,1.0
594399,1.0
594400,1.0
594401,1.0
594402,0.1
594403,0.82
594404,0.64
594405,0.64
594406,1.0
594407,0.71
594408,0.9
594409,1.0
594410,0.8
594411,1.0
594412,0.91
594413,0.92
594414,0.65
594415,0.81
594416,0.71
594417,0.68
594418,1.0
594419,0.29
594420,0.81
594421,0.91
594422,0.71
594423,1.0
594424,0.77
594425,0.92
594426,0.75
594427,1.0
594428,1.0
594429,0.67
594430,1.0
594431,0.6
594432,0.9
594433,0.8
594434,1.0
594435,0.91
594436,0.82
594437,0.72
594438,0.9
594439,0.71
594440,1.0
594441,1.0
594442,0.11
594443,0.44
594444,1.0
594445,1.0
594446,0.84
594447,0.91
594448,0.91
594449,1.0
594450,0.63
594451,0.92
594452,0.5
594453,1.0
594454,0.92
594455,0.77
594456,0.63
594457,1.0
594458,0.76
594459,0.32
594460,0.65
594461,0.3
594462,1.0
594463,1.0
594464,0.57
594465,0.8
594466,0.77
594467,0.89
594468,0.62
594469,1.0
594470,0.15
594471,0.9
594472,0.59
594473,1.0
594474,1.0
594475,0.11
594476,1.0
594477,1.0
594478,0.82
594479,0.9
594480,0.48
594481,0.6
594482,1.0
594483,1.0
594484,0.8
594485,1.0
594486,0.91
594487,1.0
594488,0.89
594489,0.65
594490,1.0
594491,1.0
594492,0.56
594493,1.0
594494,1.0
594495,0.48
594496,0.89
594497,1.0
594498,0.7
594499,1.0
594500,1.0
594501,0.51
594502,0.84
594503,1.0
594504,0.8
594505,0.0
594506,0.48
594507,1.0
594508,0.78
594509,1.0
594510,0.81
594511,1.0
594512,0.58
594513,1.0
594514,0.91
594515,1.0
594516,0.29
594517,1.0
594518,0.51
594519,1.0
594520,0.82
594521,1.0
594522,0.82
594523,0.91
594524,0.88
594525,0.91
594526,1.0
594527,0.49
594528,0.64
594529,0.81
594530,1.0
594531,1.0
594532,1.0
594533,1.0
594534,0.92
594535,0.7
594536,0.81
594537,1.0
594538,1.0
594539,1.0
594540,0.4
594541,0.31
594542,0.57
594543,0.18
594544,1.0
594545,1.0
594546,1.0
594547,1.0
594548,0.36
594549,0.9
594550,0.65
594551,0.91
594552,1.0
594553,0.38
594554,0.78
594555,0.8
594556,0.9
594557,1.0
594558,0.91
594559,0.91
594560,0.87
594561,0.91
594562,1.0
594563,0.0
594564,0.44
594565,0.8
594566,1.0
594567,0.49
594568,0.91
594569,1.0
594570,0.17
594571,0.92
594572,0.91
594573,0.91
594574,0.81
594575,0.59
594576,1.0
594577,1.0
594578,0.76
594579,1.0
594580,0.55
594581,0.08
594582,0.63
594583,1.0
594584,0.9
594585,0.8
594586,0.89
594587,0.63
594588,1.0
594589,0.7
594590,1.0
594591,0.37
594592,0.91
594593,0.68
594594,0.7
594595,0.8
594596,0.68
594597,0.36
594598,0.69
594599,1.0
594600,1.0
594601,0.76
594602,0.59
594603,1.0
594604,0.91
594605,1.0
594606,1.0
594607,1.0
594608,1.0
594609,1.0
594610,0.9
594611,1.0
594612,1.0
594613,0.89
594614,1.0
594615,1.0
594616,0.9
594617,1.0
594618,1.0
594619,0.91
594620,0.91
594621,0.81
594622,0.91
594623,0.53
594624,1.0
594625,1.0
594626,1.0
594627,1.0
594628,0.88
594629,0.2
594630,0.92
594631,1.0
594632,1.0
594633,0.62
594634,0.8
594635,0.29
594636,0.26
594637,0.9
594638,1.0
594639,1.0
594640,1.0
594641,0.87
594642,1.0
594643,1.0
594644,1.0
594645,0.46
594646,0.87
