id,loan_paid_back
593994,0.0566
593995,0.0245
593996,0.8302
593997,0.0696
593998,0.034
593999,0.0331
594000,0.0214
594001,0.0301
594002,0.0722
594003,0.9778
594004,0.8874
594005,0.0129
594006,0.3953
594007,0.9292
594008,0.0412
594009,0.1355
594010,0.0111
594011,0.0851
594012,0.0164
594013,0.1151
594014,0.1969
594015,0.0345
594016,0.1551
594017,0.0855
594018,0.0546
594019,0.9581
594020,0.2078
594021,0.3744
594022,0.0534
594023,0.9776
594024,0.0582
594025,0.0897
594026,0.0412
594027,0.3467
594028,0.1278
594029,0.5597
594030,0.0582
594031,0.5149
594032,0.6608
594033,0.0377
594034,0.0757
594035,0.5238
594036,0.0626
594037,0.0424
594038,0.0334
594039,0.1313
594040,0.1124
594041,0.0127
594042,0.8434
594043,0.1364
594044,0.0796
594045,0.0226
594046,0.009
594047,0.0441
594048,0.0843
594049,0.2853
594050,0.0491
594051,0.1711
594052,0.6885
594053,0.0549
594054,0.126
594055,0.0055
594056,0.2506
594057,0.0232
594058,0.0756
594059,0.0232
594060,0.0376
594061,0.9336
594062,0.8714
594063,0.1284
594064,0.1876
594065,0.0023
594066,0.0649
594067,0.9781
594068,0.8034
594069,0.0443
594070,0.2176
594071,0.1109
594072,0.0072
594073,0.0861
594074,0.2388
594075,0.0364
594076,0.7255
594077,0.0607
594078,0.3137
594079,0.051
594080,0.0201
594081,0.5564
594082,0.1606
594083,0.0267
594084,0.701
594085,0.1411
594086,0.9366
594087,0.0234
594088,0.6836
594089,0.1596
594090,0.1442
594091,0.1737
594092,0.1752
594093,0.0404
594094,0.7555
594095,0.0701
594096,0.9848
594097,0.0627
594098,0.0604
594099,0.1244
594100,0.0546
594101,0.1136
594102,0.3099
594103,0.1046
594104,0.0371
594105,0.0942
594106,0.039
594107,0.1023
594108,0.1111
594109,0.0248
594110,0.0293
594111,0.5769
594112,0.096
594113,0.0771
594114,0.0767
594115,0.9087
594116,0.054
594117,0.9955
594118,0.8731
594119,0.3029
594120,0.1741
594121,0.0965
594122,0.0397
594123,0.0289
594124,0.0396
594125,0.2864
594126,0.908
594127,0.2575
594128,0.948
594129,0.0174
594130,0.0285
594131,0.5164
594132,0.0298
594133,0.0235
594134,0.0715
594135,0.938
594136,0.0499
594137,0.0497
594138,0.0816
594139,0.0587
594140,0.0434
594141,0.0297
594142,0.0594
594143,0.0502
594144,0.4367
594145,0.0283
594146,0.0065
594147,0.0362
594148,0.0355
594149,0.2361
594150,0.0202
594151,0.0511
594152,0.0196
594153,0.0188
594154,0.0991
594155,0.879
594156,0.1456
594157,0.1174
594158,0.1509
594159,0.073
594160,0.0797
594161,0.0206
594162,0.0096
594163,0.0301
594164,0.2192
594165,0.9792
594166,0.0148
594167,0.0405
594168,0.063
594169,0.1133
594170,0.0642
594171,0.0495
594172,0.9889
594173,0.986
594174,0.0351
594175,0.8354
594176,0.0543
594177,0.1446
594178,0.1982
594179,0.1874
594180,0.0677
594181,0.0723
594182,0.0621
594183,0.9931
594184,0.0342
594185,0.0372
594186,0.0447
594187,0.9979
594188,0.0285
594189,0.001
594190,0.4682
594191,0.0263
594192,0.0413
594193,0.0696
594194,0.1373
594195,0.1261
594196,0.0594
594197,0.2964
594198,0.2551
594199,0.0496
594200,0.0762
594201,0.1022
594202,0.9465
594203,0.014
594204,0.0505
594205,0.1781
594206,0.0343
594207,0.5429
594208,0.9614
594209,0.0475
594210,0.0213
594211,0.0551
594212,0.0536
594213,0.8772
594214,0.0635
594215,0.0718
594216,0.0187
594217,0.0571
594218,0.2541
594219,0.0352
594220,0.0336
594221,0.0143
594222,0.2947
594223,0.0512
594224,0.0154
594225,0.05
594226,0.008
594227,0.0682
594228,0.0396
594229,0.1986
594230,0.029
594231,0.0748
594232,0.033
594233,0.0292
594234,0.898
594235,0.5201
594236,0.0638
594237,0.1376
594238,0.0347
594239,0.0659
594240,0.0245
594241,0.9932
594242,0.0214
594243,0.2465
594244,0.0765
594245,0.9739
594246,0.5954
594247,0.0679
594248,0.04
594249,0.0215
594250,0.9278
594251,0.0584
594252,0.0267
594253,0.9822
594254,0.0234
594255,0.0915
594256,0.0141
594257,0.0173
594258,0.1235
594259,0.2037
594260,0.7024
594261,0.0902
594262,0.2613
594263,0.0493
594264,0.0806
594265,0.0463
594266,0.0233
594267,0.0292
594268,0.1012
594269,0.8821
594270,0.2095
594271,0.0507
594272,0.091
594273,0.8607
594274,0.9491
594275,0.0709
594276,0.016
594277,0.0277
594278,0.0207
594279,0.0419
594280,0.1242
594281,0.3355
594282,0.1175
594283,0.1795
594284,0.074
594285,0.079
594286,0.0235
594287,0.0491
594288,0.9796
594289,0.0551
594290,0.9921
594291,0.2344
594292,0.1323
594293,0.9995
594294,0.0047
594295,0.1169
594296,0.0179
594297,0.0247
594298,0.0524
594299,0.3263
594300,0.0539
594301,0.0135
594302,0.0753
594303,0.0281
594304,0.0007
594305,0.0375
594306,0.0715
594307,0.03
594308,0.004
594309,0.0524
594310,0.0447
594311,0.0381
594312,0.0282
594313,0.1285
594314,0.1394
594315,0.0405
594316,0.4595
594317,0.0102
594318,0.9528
594319,0.148
594320,0.0503
594321,0.086
594322,0.1649
594323,0.0522
594324,0.055
594325,0.0576
594326,0.2475
594327,0.0196
594328,0.9252
594329,0.0145
594330,0.0327
594331,0.0142
594332,0.078
594333,0.0259
594334,0.9941
594335,0.0289
594336,0.1289
594337,0.3074
594338,0.0838
594339,0.0711
594340,0.001
594341,0.3784
594342,0.5974
594343,0.0242
594344,0.4557
594345,0.0906
594346,0.0237
594347,0.0239
594348,0.0206
594349,0.0472
594350,0.2492
594351,0.042
594352,0.0277
594353,0.5964
594354,0.9483
594355,0.0309
594356,0.0388
594357,0.0587
594358,0.2746
594359,0.0507
594360,0.9879
594361,0.2012
594362,0.9294
594363,0.033
594364,0.0137
594365,0.0052
594366,0.1636
594367,0.0728
594368,0.062
594369,0.1194
594370,0.2367
594371,0.0274
594372,0.0879
594373,0.1674
594374,0.2065
594375,0.9672
594376,0.1288
594377,0.0872
594378,0.0892
594379,0.2438
594380,0.0343
594381,0.0717
594382,0.1367
594383,0.8467
594384,0.1277
594385,0.0809
594386,0.9965
594387,0.0985
594388,0.0693
594389,0.0328
594390,0.0952
594391,0.04
594392,0.0349
594393,0.0151
594394,0.0321
594395,0.9911
594396,0.0256
594397,0.0049
594398,0.0304
594399,0.0355
594400,0.031
594401,0.0272
594402,0.9909
594403,0.1929
594404,0.9276
594405,0.2816
594406,0.0353
594407,0.1692
594408,0.1136
594409,0.1403
594410,0.4125
594411,0.0232
594412,0.0376
594413,0.0341
594414,0.4477
594415,0.0205
594416,0.353
594417,0.5817
594418,0.0527
594419,0.9583
594420,0.0352
594421,0.2103
594422,0.8296
594423,0.1344
594424,0.3998
594425,0.1162
594426,0.1082
594427,0.0874
594428,0.0531
594429,0.5147
594430,0.0554
594431,0.2072
594432,0.0706
594433,0.0367
594434,0.0367
594435,0.1329
594436,0.0011
594437,0.1218
594438,0.7495
594439,0.0003
594440,0.0161
594441,0.0354
594442,0.9892
594443,0.109
594444,0.0417
594445,0.1429
594446,0.0792
594447,0.0329
594448,0.2089
594449,0.1663
594450,0.0261
594451,0.1775
594452,0.0662
594453,0.0439
594454,0.1036
594455,0.4765
594456,0.0564
594457,0.1177
594458,0.2742
594459,0.0603
594460,0.9509
594461,0.0019
594462,0.0433
594463,0.0342
594464,0.0502
594465,0.044
594466,0.0375
594467,0.449
594468,0.1835
594469,0.0177
594470,0.3865
594471,0.1306
594472,0.2384
594473,0.072
594474,0.0622
594475,0.565
594476,0.0105
594477,0.0294
594478,0.893
594479,0.0753
594480,0.7047
594481,0.1125
594482,0.0315
594483,0.0251
594484,0.101
594485,0.0101
594486,0.1322
594487,0.0329
594488,0.3175
594489,0.1435
594490,0.0347
594491,0.0263
594492,0.256
594493,0.0574
594494,0.0338
594495,0.0497
594496,0.0332
594497,0.093
594498,0.1955
594499,0.0627
594500,0.0529
594501,0.1427
594502,0.0693
594503,0.0325
594504,0.2559
594505,0.9947
594506,0.3058
594507,0.0273
594508,0.0224
594509,0.0962
594510,0.564
594511,0.1038
594512,0.3998
594513,0.0061
594514,0.0748
594515,0.0969
594516,0.8375
594517,0.0829
594518,0.4639
594519,0.0561
594520,0.4349
594521,0.0213
594522,0.1884
594523,0.0803
594524,0.0601
594525,0.0848
594526,0.0503
594527,0.9785
594528,0.829
594529,0.075
594530,0.0164
594531,0.0255
594532,0.0681
594533,0.0397
594534,0.1249
594535,0.258
594536,0.071
594537,0.0177
594538,0.0561
594539,0.0264
594540,0.0038
594541,0.1299
594542,0.2417
594543,0.7719
