id,loan_paid_back
593994,0.056649
593995,0.024487
593996,0.830173
593997,0.069602
593998,0.034016
593999,0.033096
594000,0.021406
594001,0.030105
594002,0.072177
594003,0.977839
594004,0.887404
594005,0.012931
594006,0.395295
594007,0.929217
594008,0.04125
594009,0.135538
594010,0.01115
594011,0.08514
594012,0.016442
594013,0.115062
594014,0.196889
594015,0.034485
594016,0.15508
594017,0.085458
594018,0.054568
594019,0.958137
594020,0.207812
594021,0.374392
594022,0.053414
594023,0.977598
594024,0.058164
594025,0.089666
594026,0.041223
594027,0.346726
594028,0.127785
594029,0.559669
594030,0.058186
594031,0.51489
594032,0.660805
594033,0.037682
594034,0.07566
594035,0.523831
594036,0.062551
594037,0.04242
594038,0.03342
594039,0.131324
594040,0.1124
594041,0.012746
594042,0.843407
594043,0.13639
594044,0.079614
594045,0.022633
594046,0.009001
594047,0.04411
594048,0.084344
594049,0.285328
594050,0.049087
594051,0.171052
594052,0.688483
594053,0.054947
594054,0.12601
594055,0.005529
594056,0.250646
594057,0.023221
594058,0.075556
594059,0.023223
594060,0.037639
594061,0.933551
594062,0.87144
594063,0.128418
594064,0.187634
594065,0.002306
594066,0.064935
594067,0.978062
594068,0.803379
594069,0.044333
594070,0.217553
594071,0.110899
594072,0.007166
594073,0.086115
594074,0.238821
594075,0.036426
594076,0.725477
594077,0.060719
594078,0.313677
594079,0.05098
594080,0.020088
594081,0.556358
594082,0.160596
594083,0.02668
594084,0.700989
594085,0.141128
594086,0.936567
594087,0.023378
594088,0.683613
594089,0.159611
594090,0.144245
594091,0.173673
594092,0.175194
594093,0.040398
594094,0.755542
594095,0.070051
594096,0.984824
594097,0.062678
594098,0.060403
594099,0.124358
594100,0.054632
594101,0.113579
594102,0.309905
594103,0.104644
594104,0.037107
594105,0.094245
594106,0.038997
594107,0.102261
594108,0.111126
594109,0.024794
594110,0.029325
594111,0.576892
594112,0.096025
594113,0.077136
594114,0.076727
594115,0.908662
594116,0.054017
594117,0.995489
594118,0.873062
594119,0.302899
594120,0.174091
594121,0.096504
594122,0.039736
594123,0.028936
594124,0.03955
594125,0.286399
594126,0.907959
594127,0.257454
594128,0.947957
594129,0.017448
594130,0.028511
594131,0.516359
594132,0.029797
594133,0.023471
594134,0.071525
594135,0.937979
594136,0.049879
594137,0.049732
594138,0.08165
594139,0.058665
594140,0.043419
594141,0.029676
594142,0.059426
594143,0.050213
594144,0.436746
594145,0.028338
594146,0.006539
594147,0.036161
594148,0.035518
594149,0.23615
594150,0.020225
594151,0.051076
594152,0.019646
594153,0.018766
594154,0.099125
594155,0.878953
594156,0.145555
594157,0.117353
594158,0.150904
594159,0.073004
594160,0.079714
594161,0.020599
594162,0.009575
594163,0.030083
594164,0.219171
594165,0.979152
594166,0.014796
594167,0.040504
594168,0.06301
594169,0.11325
594170,0.064225
594171,0.049478
594172,0.988892
594173,0.985993
594174,0.035056
594175,0.835395
594176,0.054323
594177,0.144577
594178,0.198227
594179,0.187421
594180,0.067713
594181,0.072279
594182,0.062092
594183,0.993101
594184,0.034172
594185,0.037216
594186,0.044697
594187,0.997922
594188,0.02853
594189,0.001022
594190,0.468224
594191,0.026268
594192,0.041273
594193,0.069606
594194,0.137293
594195,0.126148
594196,0.059361
