id,loan_paid_back
593994,0.83
593995,0.95
593996,0.4
593997,0.95
593998,0.96
593999,0.94
594000,0.92
594001,0.92
594002,0.75
594003,0.03
594004,0.05
594005,0.98
594006,0.57
594007,0.12
594008,0.96
594009,0.67
594010,1.0
594011,0.8
594012,0.93
594013,0.9
594014,0.65
594015,0.96
594016,0.7
594017,0.72
594018,0.89
594019,0.05
594020,0.82
594021,0.61
594022,0.92
594023,0.12
594024,0.86
594025,0.89
594026,0.95
594027,0.59
594028,0.8
594029,0.67
594030,0.77
594031,0.66
594032,0.7
594033,0.91
594034,0.86
594035,0.37
594036,0.93
594037,0.92
594038,0.86
594039,0.79
594040,0.77
594041,0.98
594042,0.28
594043,0.6
594044,0.8
594045,0.95
594046,0.98
594047,0.88
594048,0.87
594049,0.6
594050,0.83
594051,0.77
594052,0.71
594053,0.96
594054,0.74
594055,0.96
594056,0.74
594057,0.93
594058,0.86
594059,0.97
594060,0.69
594061,0.02
594062,0.12
594063,0.8
594064,0.71
594065,0.97
594066,0.68
594067,0.03
594068,0.48
594069,0.89
594070,0.74
594071,0.74
594072,0.99
594073,0.73
594074,0.78
594075,0.91
594076,0.29
594077,0.88
594078,0.68
594079,0.92
594080,0.98
594081,0.59
594082,0.73
594083,0.97
594084,0.31
594085,0.83
594086,0.13
594087,0.98
594088,0.34
594089,0.84
594090,0.77
594091,0.62
594092,0.67
594093,0.92
594094,0.49
594095,0.71
594096,0.07
594097,0.73
594098,0.8
594099,0.85
594100,0.79
594101,0.82
594102,0.63
594103,0.7
594104,0.98
594105,0.93
594106,0.9
594107,0.86
594108,0.77
594109,0.95
594110,0.97
594111,0.6
594112,0.72
594113,0.88
594114,0.95
594115,0.09
594116,0.79
594117,0.08
594118,0.18
594119,0.43
594120,0.78
594121,0.82
594122,0.92
594123,0.94
594124,0.95
594125,0.57
594126,0.18
594127,0.56
594128,0.04
594129,0.96
594130,0.96
594131,0.44
594132,0.91
594133,0.91
594134,0.64
594135,0.08
594136,0.91
594137,0.97
594138,0.83
594139,0.87
594140,0.9
594141,0.95
594142,0.9
594143,0.88
594144,0.55
594145,0.98
594146,0.96
594147,0.97
594148,0.79
594149,0.65
594150,0.96
594151,0.84
594152,0.94
594153,0.96
594154,0.85
594155,0.13
594156,0.7
594157,0.7
594158,0.73
594159,0.8
594160,0.8
594161,0.98
594162,0.92
594163,0.96
594164,0.75
594165,0.02
594166,0.99
594167,0.96
594168,0.76
594169,0.68
594170,0.86
594171,0.95
594172,0.02
594173,0.06
594174,0.88
594175,0.38
594176,0.84
594177,0.71
594178,0.7
594179,0.77
594180,0.91
594181,0.8
594182,0.95
594183,0.06
594184,0.91
594185,0.93
594186,0.95
594187,0.06
594188,0.91
594189,0.99
594190,0.41
594191,0.95
594192,0.87
594193,0.78
594194,0.67
594195,0.76
594196,0.94
594197,0.59
594198,0.72
594199,0.94
594200,0.88
594201,0.65
594202,0.05
