id,loan_paid_back
593994,0.93
593995,0.97
593996,0.26
593997,0.92
593998,0.96
593999,0.96
594000,0.97
594001,0.96
594002,0.91
594003,0.017
594004,0.076
594005,0.99
594006,0.63
594007,0.05
594008,0.95
594009,0.86
594010,0.99
594011,0.9
594012,0.98
594013,0.88
594014,0.8
594015,0.97
594016,0.85
594017,0.9
594018,0.93
594019,0.039
594020,0.78
594021,0.66
594022,0.93
594023,0.016
594024,0.93
594025,0.93
594026,0.95
594027,0.66
594028,0.87
594029,0.57
594030,0.93
594031,0.42
594032,0.28
594033,0.95
594034,0.91
594035,0.3
594036,0.93
594037,0.95
594038,0.96
594039,0.89
594040,0.9
594041,0.99
594042,0.093
594043,0.86
594044,0.91
594045,0.98
594046,0.99
594047,0.95
594048,0.91
594049,0.72
594050,0.94
594051,0.82
594052,0.38
594053,0.93
594054,0.87
594055,0.99
594056,0.84
594057,0.97
594058,0.92
594059,0.97
594060,0.95
594061,0.047
594062,0.079
594063,0.87
594064,0.88
594065,0.99
594066,0.92
594067,0.018
594068,0.27
594069,0.95
594070,0.78
594071,0.88
594072,0.99
594073,0.9
594074,0.85
594075,0.97
594076,0.18
594077,0.92
594078,0.69
594079,0.94
594080,0.97
594081,0.52
594082,0.89
594083,0.96
594084,0.21
594085,0.86
594086,0.042
594087,0.97
594088,0.51
594089,0.85
594090,0.84
594091,0.82
594092,0.83
594093,0.95
594094,0.18
594095,0.92
594096,0.012
594097,0.93
594098,0.93
594099,0.87
594100,0.93
594101,0.88
594102,0.7
594103,0.89
594104,0.96
594105,0.9
594106,0.95
594107,0.89
594108,0.91
594109,0.97
594110,0.96
594111,0.58
594112,0.89
594113,0.91
594114,0.92
594115,0.055
594116,0.93
594117,0.0043
594118,0.085
594119,0.73
594120,0.86
594121,0.9
594122,0.95
594123,0.96
594124,0.95
594125,0.74
594126,0.089
594127,0.76
594128,0.033
594129,0.99
594130,0.96
594131,0.54
594132,0.96
594133,0.97
594134,0.92
594135,0.04
594136,0.94
594137,0.94
594138,0.9
594139,0.93
594140,0.95
594141,0.96
594142,0.93
594143,0.94
594144,0.71
594145,0.97
594146,0.98
594147,0.95
594148,0.95
